"RefDes","Value","Name","Manufacturer","Quantity"
"C1","1000uF 10V","UCL_size10x13.5","Nichicon UCL1A102MNL1GS","1"
"C2","0.47uF","CAP_NP_1206","","1"
"C3","0.1uF","CAP_NP_1206","","1"
"C4, C5, C8","1uF","CAP_NP_1206","","3"
"C6, C7","10uF","CAP_NP_1206","","2"
"D1","","10BQ100","Vishay SS2P2L-M3/84A","1"
"J1","","PJ-007","CUI","1"
"J2","","HDR-1x2","","1"
"R1, R2","10K","RES_1206","","2"
"R3","1.5K","RES_1206","","1"
"TB1, TB2","","TB_3p5mm_4POS","","2"
"U1","ESP-32","ESP-32 NodeMCU 32S","","1"
"U2","","PAM8403","Diodes Inc","1"
